,0,1,2
0,-8,0,0
1,-8,0,16
2,-8,0,0
3,-8,0,-8
4,-8,0,16
5,-8,0,8
6,-8,0,8
7,-8,0,8
8,-8,0,8
9,-8,0,0
10,-8,0,16
11,-8,0,8
12,-8,0,8
13,-8,0,16
14,-8,0,8
15,-8,0,16
16,-8,-8,32
17,-8,-8,16
18,-8,0,0
19,-8,0,8
20,-8,0,-8
21,-8,0,0
22,-8,-8,8
23,-8,-8,8
24,-8,0,0
25,-8,0,8
26,-8,-8,0
27,-8,0,0
28,-8,-8,8
29,-8,0,16
30,-8,0,8
31,-8,0,0
32,-16,0,0
33,0,0,0
34,-16,0,0
35,0,0,16
36,-8,-8,16
37,-8,0,8
38,-16,0,16
39,0,0,16
40,-16,0,8
41,0,-8,16
42,-8,-8,8
43,-8,0,8
44,-16,0,8
45,0,0,0
46,-16,0,0
47,0,-8,0
48,-8,0,8
49,-8,0,8
50,-8,-8,8
51,-8,0,0
52,-8,-8,16
53,-8,0,8
54,-8,0,0
55,-8,0,0
56,0,0,-8
57,-16,0,-8
58,0,0,0
59,-16,0,8
60,-8,-8,16
61,-8,0,0
62,0,0,8
63,-16,0,16
64,0,0,0
65,-16,-8,32
66,-8,-8,0
67,-8,0,0
68,0,0,0
69,-16,0,8
70,0,0,0
71,-16,-8,8
72,8,-8,0
73,8,0,0
74,8,-8,0
75,8,0,8
76,8,-16,16
77,8,-16,8
78,8,-8,8
79,8,0,-16
80,0,0,8
81,0,0,0
82,0,0,-16
83,0,-8,0
84,8,-8,8
85,8,0,-8
86,0,0,0
87,0,0,0
88,0,0,-8
89,0,-8,16
90,8,-16,8
91,8,-16,16
92,0,0,0
93,0,-8,0
94,0,0,16
95,0,-8,0
96,8,8,0
97,8,16,8
98,8,8,-8
99,8,16,0
100,8,0,8
101,8,0,8
102,8,8,16
103,8,16,0
104,0,16,16
105,0,16,0
106,0,16,-8
107,0,8,0
108,8,8,0
109,8,16,0
110,0,16,0
111,0,16,8
112,0,16,0
113,0,8,8
114,8,0,16
115,8,0,16
116,0,16,8
117,0,8,8
118,0,16,16
119,0,8,8
120,-8,0,0
121,-8,0,0
122,-8,0,0
123,-8,-8,0
124,-8,0,0
125,-8,-8,16
126,-8,0,8
127,-8,0,8
128,-16,0,8
129,0,0,0
130,-16,0,16
131,0,0,8
132,-8,0,8
133,-8,-8,16
134,-16,0,8
135,0,0,0
136,-16,-8,32
137,0,0,0
138,-8,0,0
139,-8,-8,8
140,-16,0,-8
141,0,0,-8
142,-16,-8,8
143,0,0,0
144,-8,0,8
145,-8,0,0
146,-8,0,8
147,-8,-8,8
148,-8,0,8
149,-8,-8,16
150,-8,0,0
151,-8,0,8
152,0,0,0
153,-16,0,8
154,0,0,16
155,-16,0,16
156,-8,0,16
157,-8,-8,8
158,0,0,16
159,-16,0,0
160,0,-8,16
161,-16,0,8
162,-8,0,0
163,-8,-8,0
164,0,0,0
165,-16,0,0
166,0,-8,0
167,-16,0,0
168,8,16,0
169,8,8,0
170,8,16,0
171,8,8,16
172,8,0,16
173,8,0,16
174,8,16,0
175,8,8,-8
176,0,16,0
177,0,16,16
178,0,8,8
179,0,16,16
180,8,16,8
181,8,8,0
182,0,16,8
183,0,16,0
184,0,8,8
185,0,16,8
186,8,0,8
187,8,0,8
188,0,8,8
189,0,16,0
190,0,8,0
191,0,16,-8
192,8,0,-8
193,8,-8,8
194,8,0,-16
195,8,-8,8
196,8,-16,8
197,8,-16,16
198,8,0,8
199,8,-8,0
200,0,0,0
201,0,0,8
202,0,-8,0
203,0,0,16
204,8,0,0
205,8,-8,0
206,0,0,0
207,0,0,0
208,0,-8,0
209,0,0,0
210,8,-16,16
211,8,-16,8
212,0,-8,16
213,0,0,-8
214,0,-8,0
215,0,0,-16
216,-16,-8,16
217,-16,-8,0
218,-8,-8,8
219,-8,-8,0
220,-8,-8,0
221,-8,-8,16
222,-16,-8,8
223,-16,-8,8
224,-8,-8,8
225,-8,-8,0
226,-8,-8,16
227,-8,-8,8
228,-8,-8,8
229,-8,-8,16
230,-8,-8,16
231,-8,-8,0
232,-8,-8,32
233,-8,-8,0
234,-8,-8,0
235,-8,-8,8
236,-8,-8,0
237,-8,-8,8
238,-8,-8,8
239,-8,-8,8
240,0,0,16
241,0,0,0
242,-8,8,16
243,8,8,0
244,-8,0,0
245,8,0,0
246,0,0,0
247,0,0,0
248,-8,8,0
249,8,8,0
250,-8,0,16
251,8,0,0
252,-8,8,0
253,8,8,0
254,-8,8,8
255,8,8,0
256,-8,8,16
257,-8,8,0
258,-8,0,0
259,8,0,0
260,-8,0,8
261,8,0,16
262,-8,8,0
263,-8,8,16
264,8,0,8
265,8,0,16
266,0,8,8
267,16,8,0
268,0,0,8
269,16,0,0
270,8,0,0
271,8,0,8
272,0,8,-8
273,16,8,-8
274,0,0,8
275,16,0,0
276,0,8,0
277,16,8,8
278,0,8,0
279,16,8,8
280,0,8,8
281,0,8,8
282,0,0,8
283,16,0,8
284,0,0,16
285,16,0,8
286,0,8,8
287,0,8,8
288,8,0,16
289,8,0,8
290,16,8,8
291,0,8,0
292,16,0,8
293,0,0,16
294,8,0,8
295,8,0,0
296,16,8,8
297,0,8,0
298,16,0,8
299,0,0,8
300,16,8,-8
301,0,8,-8
302,16,8,0
303,0,8,8
304,0,8,8
305,0,8,8
306,16,0,0
307,0,0,8
308,16,0,0
309,0,0,8
310,0,8,8
311,0,8,8
312,0,0,0
313,0,0,16
314,8,8,0
315,-8,8,8
316,8,0,16
317,-8,0,8
318,0,0,0
319,0,0,0
320,8,8,0
321,-8,8,0
322,8,0,0
323,-8,0,0
324,8,8,0
325,-8,8,0
326,8,8,0
327,-8,8,16
328,-8,8,0
329,-8,8,16
330,8,0,0
331,-8,0,16
332,8,0,0
333,-8,0,0
334,-8,8,16
335,-8,8,0
336,16,-8,16
337,16,-8,32
338,8,8,8
339,8,8,0
