,0,1,2,3,4,5
0,0.1875,0.1875,2.3125,0.687499,0.1875,0.1875
1,1.5625,0.437499,2.395832,0.1875,0.1875,0.1875
2,1.045902,1.456942,1.399559,0.399151,1.245833,0.329167
3,1.184722,0.827778,2.190972,0.072916,0.684028,0.184028
4,0.453125,0.553125,1.458333,0.536458,0.620209,0.136458
5,1.057291,1.352498,1.675616,0.182291,0.901043,0.182292
6,0.874999,0.5,1.652776,0.361111,0.277778,0.36111
7,1.0,0.375,2.25,0.715278,0.499999,0.277778
8,1.173611,0.914999,1.310346,0.689237,0.726172,0.417397
9,0.920434,0.937499,1.458704,0.659721,0.565971,0.159722
10,0.595763,0.220625,1.606441,1.070624,0.456198,0.838813
11,0.722291,0.6875,1.236108,0.229167,0.560832,0.072916
12,0.779861,0.259028,1.729931,0.604166,1.083334,0.197918
13,0.51507,0.427779,2.133114,0.604166,0.910416,0.25582
14,1.124999,0.265624,2.325246,0.807291,1.045138,0.321181
15,1.39583,0.428124,1.697915,0.161458,0.261458,0.136458
16,0.104167,0.090278,0.6875,0.125,1.229166,0.506945
17,0.506945,0.090278,1.1875,0.0625,0.448335,0.041667
18,0.909721,0.795208,1.507472,0.628472,1.246529,0.298612
19,0.95486,1.287499,1.484719,0.314235,1.107757,0.417397
20,0.15625,0.40625,1.297916,0.55,0.427196,0.225696
21,0.190625,0.721874,1.639429,0.596875,0.834082,0.298149
22,0.416667,0.152778,0.312499,0.236111,1.126388,0.265276
23,0.777774,0.090278,0.375,0.152777,1.390277,0.202776
24,1.481666,1.431664,0.969633,1.026661,0.589756,0.714774
25,1.926737,0.582291,0.812917,0.930879,1.158165,0.634989
26,1.40724,1.573906,0.836806,0.888957,0.279856,0.586106
27,1.218748,1.228124,0.535418,0.848933,0.655344,0.606464
28,0.344445,0.949652,0.911459,0.629453,0.405556,0.380556
29,0.691875,0.449653,0.743633,0.844458,0.491319,0.71085
30,1.394164,1.42283,0.845229,0.87135,0.932932,0.711178
31,1.926737,0.402083,0.505995,2.049208,0.777497,0.494097
32,0.1875,0.73125,0.197421,0.27778,0.598574,0.363191
33,0.751436,1.245898,1.657284,0.826109,1.028023,0.875665
34,0.175,0.425,0.529862,0.361111,0.452775,0.284025
35,0.398125,1.224999,0.395834,1.550484,0.859953,0.935415
36,1.161458,1.541666,0.168403,0.646875,0.143403,0.143403
37,1.5,1.399631,0.1875,0.799011,0.54118,0.627136
38,0.59375,0.0,0.109375,0.168403,0.388191,0.278817
39,0.496458,0.240625,1.437431,0.470484,0.449404,0.368055
40,0.291666,0.0625,0.3125,0.1875,0.337959,0.275461
41,0.343751,0.284722,0.604168,0.604169,0.194445,0.194445
42,0.317778,1.187153,0.265625,0.428125,0.143403,0.262589
43,0.578124,0.686661,0.531131,0.757288,0.908067,0.565278
44,0.33125,0.0,0.2625,0.234028,0.420124,0.294442
45,0.907361,0.884373,0.702082,1.351109,0.752084,0.646875
46,0.347221,0.305556,0.354166,0.374999,0.421294,0.358794
47,0.4375,0.284723,0.395834,0.858055,0.673608,0.701386
48,1.458827,0.772568,1.144294,1.02101,0.766666,0.769867
49,1.437853,0.642361,0.602852,1.210068,0.811043,0.544445
50,1.281249,1.517967,0.746179,0.880206,0.439214,0.514213
51,1.276041,1.562778,0.91146,0.656249,0.791965,0.488749
52,0.381111,0.930557,1.007988,0.222778,0.279175,0.396527
53,0.743126,0.944445,0.593005,0.303125,0.459426,0.374255
54,1.296873,0.646873,1.326758,1.266695,0.776941,0.500533
55,1.270832,0.875624,0.619793,1.18229,0.616502,0.25
56,0.301667,0.770417,0.1875,0.15162,1.031249,0.536574
57,0.323611,0.617362,0.883074,0.124998,0.613542,0.329095
58,0.569375,0.59687,0.828123,1.993303,0.698957,0.642361
59,0.48125,0.710415,1.166942,1.00972,0.831178,0.34375
60,0.792499,1.150972,0.725694,0.682291,0.219446,0.327779
61,1.031249,1.424931,0.559028,0.40625,0.520972,0.25
62,0.46875,0.46875,0.629464,0.850695,0.954463,0.552083
63,0.42986,0.381149,0.922081,0.345485,0.68729,0.489003
64,0.796944,0.354167,0.479166,0.685831,0.770832,0.555555
65,0.722222,0.1875,0.1875,0.1875,0.541669,0.541669
66,0.301544,0.0,0.583347,0.463194,0.0,0.344825
67,0.58314,0.109375,0.520639,0.539115,0.015625,0.490776
68,0.930554,0.830752,1.350696,1.548609,0.920122,0.684029
69,0.265625,0.847291,1.674652,1.127776,0.445018,0.473249
70,1.071948,0.548612,0.499997,0.740255,0.808913,0.48611
71,1.138888,0.222222,0.229167,0.3125,0.277778,0.277779
72,1.285074,0.873442,1.684643,0.635215,0.827627,0.667474
73,1.20907,0.916053,0.971325,1.138844,0.808446,0.778062
74,1.292639,0.561913,0.979918,1.058382,0.717623,0.648825
75,1.135957,1.452698,0.497398,0.816622,0.736357,0.593908
76,0.462847,0.38753,1.960734,0.352747,0.369218,0.703671
77,0.446528,0.839197,1.769902,0.454861,0.785812,0.475425
78,1.704861,0.881944,1.870138,0.79854,0.697995,0.892883
79,1.428818,0.526041,0.862223,0.768621,0.689056,0.857408
80,0.493054,0.430554,0.0,1.020835,0.478008,0.512062
81,0.951389,0.874999,1.548887,0.918647,0.836816,0.723499
82,0.312499,0.810139,0.625,0.368056,0.326388,0.743056
83,0.894791,0.868749,1.03624,0.796875,0.875824,0.472082
